text,image,카테고리_주제,카테고리_품사
닫아주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/dad_a_ju_se_yo_002_1.png,집,동사
더볼래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/deo_bol_rae_yo_.png,집,동사
돌려요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/dol_ryeo_yo_1.png,집,동사
뒤로감아주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/dwi_ro_gam_a_ju_se_yo_.png,집,동사
들어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/deul_eo_yo_001_2.png,집,동사
들어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/deul_eo_yo_002_2.png,집,동사
또볼래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/ddo_bol_rae_yo_.png,집,동사
물줄래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/mul_jul_rae_yo_.png,집,동사
앉을래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/anj_eul_rae_yo_001_.png,집,동사
앉을래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/anj_eul_rae_yo_002_.png,집,동사
앞으로감아주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/ap_eu_ro_gam_a_ju_se_yo_.png,집,동사
올려요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/ol_ryeo_yo_.png,집,동사
줄여요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/jul_yeo_yo_.png,집,동사
켜요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/kyeo_yo_001_.png,집,동사
켜요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/kyeo_yo_002_.png,집,동사
키워요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/ki_weo_yo_.png,집,동사
틀어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/teul_eo_yo_.png,집,동사
틀어주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/teul_eo_ju_se_yo_1.png,집,동사
꺼주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/ggeo_ju_se_yo_.png,집,동사
꽂아요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/ggoj_a_yo_.png,집,동사
나갈래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/na_gal_rae_yo_001_.png,집,동사
나갈래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/na_gal_rae_yo_002_.png,집,동사
넣어주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/neoh_eo_ju_se_yo_001_.png,집,동사
넣어주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/neoh_eo_ju_se_yo_002_.png,집,동사
놀래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/nol_rae_yo_001_.png,집,동사
놀래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/nol_rae_yo_002_.png,집,동사
누울래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/nu_ul_rae_yo_.png,집,동사
누울래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/nu_ul_rae_yo_201_.png,집,동사
눌러주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/nul_reo_ju_se_yo_001_.png,집,동사
눌러주세요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/nul_reo_ju_se_yo_002_.png,집,동사
들어갈래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/deul_eo_gal_rae_yo_001_.png,집,동사
들어갈래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/deul_eo_gal_rae_yo_002_.png,집,동사
또할래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/ddo_hal_rae_yo_001_.png,집,동사
또할래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/ddo_hal_rae_yo_002_.png,집,동사
앉아요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/anj_a_yo_1.png,집,동사
앉아요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/anj_a_yo_201_.png,집,동사
움직여요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/um_jig_yeo_yo_.png,집,동사
읽을래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/ilg_eul_rae_yo_001_.png,집,동사
읽을래요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/ilg_eul_rae_yo_002_.png,집,동사
자고싶어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/ja_go_sip_eo_yo_201_.png,집,동사
작아요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/jag_a_yo_.png,집,동사
지워요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/ji_weo_yo_.png,집,동사
