text,image,카테고리_주제,카테고리_품사,실체,필요성분,명사구분,동사구분
너무슨일있어,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/neo_mu_seun_il_iss_eo_201_.png,학교,동사,0,0,0,0
누구예요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/nu_gu_ye_yo_.png,학교,동사,0,0,0,0
다녀요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/da_nyeo_yo_.png,학교,동사,0,에,0,0
다했어요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/da_haess_eo_yo_1.png,학교,동사,0,을,0,0
다했어요,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/da_haess_eo_yo_201_.png,학교,동사,0,을,0,0
담임선생님,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/dam_im_seon_saeng_nim_.png,학교,명사,2,0,0,0
담임선생님,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/dam_im_seon_saeng_nim_201_.png,학교,명사,2,0,0,0
당번,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/dang_beon_201_.png,학교,명사,1,0,0,0
대학교,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/dae_hag_gyo_001_.png,학교,명사,2,0,0,0
대학교,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/dae_hag_gyo_002_.png,학교,명사,2,0,0,0
대학교,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/dae_hag_gyo_003_.png,학교,명사,2,0,0,0
대학원,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/dae_hag_weon_001_.png,학교,명사,2,0,0,0
대학원,http://220.69.171.28:8080/Symbol/Symbol/n3_hag_gyo_/n2_hag_gyo_dae_hwa_/dae_hag_weon_002_.png,학교,명사,2,0,0,0
