text,image,카테고리_주제,카테고리_품사,필요토큰,필요성분
외동아들,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/oe_dong_a_deul_002_.png,집,0,0,0
외동아들,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/oe_dong_a_deul_003_.png,집,0,0,0
외동아들,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/oe_dong_a_deul_004_.png,집,0,0,0
외삼촌,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/oe_sam_con_001_.png,집,0,0,0
외삼촌,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/oe_sam_con_002_.png,집,0,0,0
외숙모,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/oe_sug_mo_.png,집,0,0,0
외할머니,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/oe_hal_meo_ni_001_.png,집,0,0,0
외할머니,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/oe_hal_meo_ni_002_.png,집,0,0,0
외할아버지,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/oe_hal_a_beo_ji_001_.png,집,0,0,0
외할아버지,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/oe_hal_a_beo_ji_002_.png,집,0,0,0
우리가족,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/u_ri_ga_jog_001_.png,집,0,0,0
우리가족,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/u_ri_ga_jog_002_.png,집,0,0,0
우리가족,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/u_ri_ga_jog_201_.png,집,0,0,0
울었어요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/ul_eoss_eo_yo_.png,집,0,0,0
이모,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/i_mo_.png,집,명사,0,0
이모부,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/i_mo_bu_.png,집,0,0,0
이혼,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/i_hon_001_.png,집,명사,0,0
이혼,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/i_hon_002_.png,집,명사,0,0
임산부,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/im_san_bu_.png,집,0,0,0
자랑스러워요,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/ja_rang_seu_reo_weo_yo_.png,집,0,0,0
작은아빠,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/jag_eun_a_bba_001_.png,집,0,0,0
작은아빠,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/jag_eun_a_bba_002_.png,집,0,0,0
작은아빠,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/jag_eun_a_bba_003_.png,집,0,0,0
작은아빠,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/jag_eun_a_bba_004_.png,집,0,0,0
작은엄마,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/jag_eun_eom_ma_001_.png,집,0,0,0
작은엄마,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/jag_eun_eom_ma_002_.png,집,0,0,0
작은엄마,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/jag_eun_eom_ma_003_.png,집,0,0,0
작은엄마,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/jag_eun_eom_ma_004_.png,집,0,0,0
장남,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n2_ga_jog_/jang_nam_001_.png,집,명사,0,0
