text,image,카테고리_주제,카테고리_품사
잠바,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/jam_ba_002_.png,집,명사
잠옷,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/jam_os_001_.png,집,명사
잠옷,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/jam_os_002_.png,집,명사
잠옷,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/jam_os_201_.png,집,명사
조끼,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/jo_ggi_001_.png,집,명사
조끼,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/jo_ggi_002_.png,집,명사
지퍼,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/ji_peo_001_.png,집,명사
지퍼,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/ji_peo_002_.png,집,명사
청바지,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/ceong_ba_ji_.png,집,명사
치마,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/ci_ma_.png,집,명사
코트,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/ko_teu_.png,집,명사
턱받이,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/teog_bad_i_.png,집,명사
티셔츠,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/ti_syeo_ceu_001_.png,집,명사
티셔츠,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/ti_syeo_ceu_002_.png,집,명사
팬티,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/paen_ti_.png,집,명사
팬티,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/paen_ti_201_.png,집,명사
한복,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/han_bog_001_.png,집,명사
한복,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n5_os_/han_bog_002_.png,집,명사
텔레비전,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/ztvz_001_2.png,집,명사
텔레비전,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/ztvz_002_2.png,집,명사
꽃,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/ggoc_001_.png,집,명사
꽃,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/ggoc_002_.png,집,명사
꽃,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/ggoc_003_.png,집,명사
드라마,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/deu_ra_ma_.png,집,명사
만화,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/man_hwa_.png,집,명사
블라인드,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/beul_ra_in_deu_.png,집,명사
블라인드,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/beul_ra_in_deu_201_.png,집,명사
비디오,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/bi_di_o_2.png,집,명사
선풍기,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/seon_pung_gi_.png,집,명사
선풍기,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/seon_pung_gi_201_.png,집,명사
소파,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/so_pa_001_.png,집,명사
소파,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/so_pa_002_.png,집,명사
에어컨,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/e_eo_keon_2.png,집,명사
에어컨,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/e_eo_keon_201_.png,집,명사
이거,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/i_geo_.png,집,명사
전화,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/jeon_hwa_.png,집,명사
전화,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/jeon_hwa_201_.png,집,명사
커튼,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/keo_teun_.png,집,명사
커튼,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/keo_teun_201_.png,집,명사
테이프,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/te_i_peu_.png,집,명사
투니버스,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/tu_ni_beo_seu_.png,집,명사
화분,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/hwa_bun_.png,집,명사
쓰레기통,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/hyu_ji_tong_001_.png,집,명사
쓰레기통,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/hyu_ji_tong_002_.png,집,명사
쓰레기통,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n6_geo_sil_be_ran_da_/hyu_ji_tong_003_.png,집,명사
usb,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/zusbz_.png,집,명사
게임,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/ge_im_.png,집,명사
공부,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/gong_bu_001_.png,집,명사
공부,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/gong_bu_002_.png,집,명사
다른방,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/da_reun_bang_.png,집,명사
다른방,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/da_reun_bang_201_.png,집,명사
문,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/mun_001_.png,집,명사
문,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/mun_002_.png,집,명사
문,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/mun_201_.png,집,명사
방,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/bang_2.png,집,명사
베개,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/be_gae_.png,집,명사
베개,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/be_gae_201_.png,집,명사
부모님방,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/bu_mo_nim_bang_.png,집,명사
불,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/bul_2.png,집,명사
스위치,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/seu_wi_ci_2.png,집,명사
스피커,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/seu_pi_keo_1.png,집,명사
시계,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/si_gye_001_.png,집,명사
시계,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/si_gye_002_.png,집,명사
시계,http://220.69.171.28:8080/Symbol/Symbol/gif/si_gye_.gif,집,명사
알람,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/al_ram_.png,집,명사
이불,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/i_bul_001_.png,집,명사
이불,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/i_bul_002_.png,집,명사
이불,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/i_bul_201_.png,집,명사
종이,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/jong_i_201_.png,집,명사
종이,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/jong_i_.png,집,명사
책,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/caeg_001_.png,집,명사
책,http://220.69.171.28:8080/Symbol/Symbol/n4_jib_/n7_bang_/caeg_002_1.png,집,명사
